-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,23,21,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,21,21,21,21,21,21,21,-1,-1,-1,-1,-1,23,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,22,22,23,21,-1,-1,-1,-1,-1,-1,21,21,23,23,22,22,22,23,22,23,23,23,21,21,21,21,21,22,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,22,22,23,23,21,21,21,21,21,21,23,23,23,22,22,22,22,23,23,22,22,23,23,23,23,23,22,22,22,21,21,-1,-1,-1,-1,-1,-1,-1,-1
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,21,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,21,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,34,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,34,34,34,34,-1,-1,-1,-1,34,34
-1,-1,-1,-1,34,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,34,34,50,50,50,50,50,50,-1,-1,34,50,50
-1,-1,-1,-1,50,50,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,34,34,34,50,50,50,50,62,62,50,50,50,-1,-1,-1,-1,-1
-1,-1,-1,34,50,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,34,34,34,34,50,50,50,50,50,50,50,62,62,62,50,50,50,50,50,-1,-1,-1
34,34,34,50,50,50,50,-1,-1,-1,-1,-1,-1,34,34,34,34,50,50,50,50,50,50,50,50,50,50,50,50,62,62,62,62,50,50,50,50,50,-1,-1
50,50,50,50,50,50,34,34,34,34,34,34,34,50,50,50,50,50,50,50,50,50,50,50,50,62,62,62,50,50,50,50,50,50,50,50,50,50,34,34
50,62,62,50,50,50,62,62,62,50,50,50,62,62,62,50,50,62,62,62,62,50,50,50,62,62,62,62,50,50,50,50,50,62,62,62,50,50,50,50
62,62,62,62,50,50,62,62,62,62,50,62,62,62,50,50,62,62,62,62,62,50,50,50,50,50,50,50,50,50,50,50,50,62,62,62,62,62,50,50
